#,Name,State,Violent Crime Rates (2018),"VCR per 100,000 People",% Change (2010-2020)
66,Irvine,California,160,56.79,43.76
146,Cary,North Carolina,114,67.84,29.22
174,Naperville,Illinois,102,68.88,5.34
183,McAllen,Texas,122,85.60,9.52
117,Frisco,Texas,163,86.49,71.53
80,Gilbert,Arizona,234,93.63,28.71
123,Glendale,California,202,100.65,2.67
112,Port St. Lucie,Florida,218,111.91,24.49
41,Long Beach,California,528,117.37,0.88
182,Surprise,Arizona,165,119.81,21.91
167,Bellevue,Washington,194,131.92,24.26
95,Santa Clarita,California,292,136.74,30.00
73,Plano,Texas,402,139.22,10.03
127,Cape Coral,Florida,267,140.92,26.36
126,McKinney,Texas,288,150.20,48.77
161,Corona,California,263,156.11,3.21
160,Alexandria,Virginia,260,163.45,13.93
148,Rancho Cucamonga,California,290,163.52,5.66
91,Scottsdale,Arizona,422,165.83,11.09
162,Sunnyvale,California,255,166.88,11.57
152,Pembroke Pines,Florida,314,182.58,10.61
180,Torrance,California,267,184.51,1.30
59,Henderson,Nevada,583,188.36,23.20
94,Fremont,California,502,211.09,8.41
86,Irving,Texas,510,211.25,18.73
119,Huntington Beach,California,429,214.36,4.81
178,Roseville,California,299,215.18,24.44
124,Grand Prairie,Texas,428,220.63,11.90
129,Peoria,Arizona,388,225.24,24.01
99,Hialeah,Florida,533,226.87,-0.74
122,Overland Park,Kansas,440,228.31,13.80
155,Fort Collins,Colorado,392,232.88,17.35
164,Hollywood,Florida,363,235.13,8.73
76,Chandler,Arizona,606,235.63,17.03
181,Fullerton,California,332,238.38,6.07
143,Elk Grove,California,414,239.86,15.77
140,Aurora,Illinois,538,257.08,-8.70
39,Colorado Springs,Colorado,1222,260.38,15.09
184,Thornton,Colorado,378,271.26,19.50
90,Garland,Texas,659,272.64,8.49
93,Boise,Idaho,635,277.97,14.59
151,Garden Grove,California,507,294.43,0.74
56,Lexington,Kentucky,982,304.57,9.05
171,Charleston,South Carolina,415,304.90,25.35
77,Chula Vista,California,835,308.32,13.16
186,Denton,Texas,439,317.39,24.47
172,Joliet,Illinois,486,328.98,1.98
109,Fontana,California,709,332.55,6.48
185,Visalia,California,450,337.26,13.76
54,Honolulu,Hawaii,1192,339.89,4.06
87,Laredo,Texas,890,341.18,8.09
187,Kent,Washington,452,343.12,47.98
170,Escondido,California,535,352.45,5.11
105,Yonkers,New York,706,353.21,7.79
35,Kansas City,Missouri,1837,361.65,10.48
72,Lincoln,Nebraska,1045,364.20,12.67
144,Ontario,California,670,370.74,7.07
108,Moreno Valley,California,775,371.01,8.02
22,El Paso,Texas,2554,375.66,4.54
7,San Diego,California,5360,376.96,6.01
153,Palmdale,California,591,378.46,11.24
136,Brownsville,Texas,694,380.62,6.62
149,Oceanside,California,669,380.64,4.35
114,Oxnard,California,801,382.76,2.17
81,Fort Wayne,Indiana,1024,382.86,4.01
10,Austin,Texas,3720,386.51,21.40
147,Eugene,Oregon,661,387.23,11.89
165,Killeen,Texas,577,388.07,19.27
173,Mesquite,Texas,573,402.05,7.50
50,Aurora,Colorado,1598,402.28,18.81
88,Chesapeake,Virginia,979,403.95,12.25
79,Madison,Wisconsin,1043,404.49,15.10
145,Salem,Oregon,719,416.46,13.45
158,Hayward,California,669,418.75,13.49
9,San Jose,California,4444,432.29,7.25
166,Murfreesboro,Tennessee,613,433.39,40.17
128,Sioux Falls,South Dakota,788,436.81,25.21
168,Pasadena,Texas,679,444.57,1.95
130,Vancouver,Washington,819,447.82,17.94
48,Wichita,Kansas,1784,448.10,3.84
132,Providence,Rhode Island,819,456.22,6.88
92,Norfolk,Virginia,1134,465.55,-1.98
142,Santa Rosa,California,823,465.63,6.16
89,Glendale,Arizona,1167,466.88,9.54
