#,Name,State,% of Bachelor,Unemployment Rate,% of People at or Below 125% Poverty Line,% of People at or over 500% Poverty Line,Ratio of Poor/Rich,% Change (2010-2020)
0,New York City,New York,39.39,6.60,21.97,31.04,0.71,7.69
1,Los Angeles,California,35.83,6.76,22.20,27.11,0.82,2.67
2,Chicago,Illinois,41.46,8.06,22.11,28.92,0.76,1.92
3,Houston,Texas,34.52,6.21,25.55,23.12,1.11,9.69
4,Phoenix,Arizona,29.57,5.34,21.01,22.59,0.93,11.21
5,Philadelphia,Pennsylvania,31.43,8.81,28.26,20.76,1.36,5.10
6,San Antonio,Texas,26.56,5.90,23.25,18.99,1.22,8.05
7,San Diego,California,46.98,5.93,15.47,37.59,0.41,6.01
8,Dallas,Texas,34.91,4.90,24.38,22.75,1.07,8.90
9,San Jose,California,44.89,4.60,11.06,48.34,0.23,7.25
10,Austin,Texas,53.56,4.27,15.84,36.76,0.43,21.40
11,Jacksonville,Florida,29.49,5.41,19.53,23.51,0.83,15.55
12,Fort Worth,Texas,30.41,5.66,18.56,24.66,0.75,23.90
13,Columbus,Ohio,37.03,5.34,23.73,20.95,1.13,15.07
14,Indianapolis,Indiana,32.43,5.73,22.15,20.69,1.07,8.20
15,Charlotte,North Carolina,44.97,4.87,16.22,30.44,0.53,19.57
16,San Francisco,California,58.89,4.50,12.92,53.11,0.24,8.54
17,Seattle,Washington,65.38,3.89,12.60,51.48,0.24,20.78
18,Denver,Colorado,50.68,4.34,15.79,34.33,0.46,19.22
19,Washington,District of Columbia,60.30,7.03,18.71,46.50,0.40,14.60
20,Nashville,Tennessee,43.21,4.67,18.54,26.89,0.69,14.68
21,Oklahoma City,Oklahoma,31.85,4.59,20.35,24.12,0.84,17.48
22,El Paso,Texas,26.13,6.25,25.16,15.98,1.57,4.54
23,Boston,Massachusetts,51.56,6.23,21.78,36.19,0.60,9.49
24,Portland,Oregon,51.27,5.22,16.76,36.16,0.46,11.70
25,Las Vegas,Nevada,25.43,6.87,19.60,23.12,0.85,9.95
26,Detroit,Michigan,16.40,14.92,40.51,9.54,4.25,-10.39
27,Louisville,Kentucky,30.73,5.62,20.10,25.06,0.80,5.92
28,Memphis,Tennessee,27.07,8.52,30.97,16.68,1.86,-2.27
29,Baltimore,Maryland,33.26,7.49,24.95,24.27,1.03,-5.68
30,Milwaukee,Wisconsin,24.79,6.39,31.48,13.67,2.30,-2.96
31,Albuquerque,New Mexico,36.55,5.58,21.24,23.61,0.90,3.43
32,Fresno,California,23.09,9.48,29.09,17.16,1.70,9.60
33,Tucson,Arizona,28.78,7.36,27.12,15.40,1.76,4.08
34,Sacramento,California,34.53,6.64,20.86,26.31,0.79,12.06
35,Kansas City,Missouri,35.96,4.94,19.97,25.31,0.79,10.48
36,Mesa,Arizona,28.13,5.11,17.34,23.90,0.73,14.91
37,Atlanta,Georgia,54.29,6.57,24.09,35.52,0.68,18.71
38,Omaha,Nebraska,38.70,4.33,16.74,27.53,0.61,19.97
39,Colorado Springs,Colorado,39.84,5.69,15.36,29.24,0.53,15.09
40,Raleigh,North Carolina,52.19,4.28,15.70,33.97,0.46,15.77
41,Long Beach,California,31.94,6.58,20.96,27.15,0.77,0.88
42,Virginia Beach,Virginia,37.45,4.38,9.39,33.97,0.28,4.90
43,Miami,Florida,31.84,5.73,28.83,18.72,1.54,10.72
44,Oakland,California,46.21,5.95,18.82,36.02,0.52,12.44
45,Minneapolis,Minnesota,52.16,5.10,22.58,31.40,0.72,11.98
46,Tulsa,Oklahoma,31.60,6.19,23.99,22.05,1.09,5.24
47,Bakersfield,California,22.70,7.59,23.06,21.75,1.06,15.95
48,Wichita,Kansas,30.94,5.57,20.57,21.81,0.94,3.84
49,Arlington,Texas,31.00,5.14,18.80,23.89,0.79,7.88
50,Aurora,Colorado,30.03,5.16,14.08,25.60,0.55,18.81
51,New Orleans,Louisiana,38.41,8.63,28.61,23.71,1.21,11.68
52,Tampa,Florida,39.98,5.66,22.42,28.32,0.79,14.02
53,Cleveland,Ohio,18.78,12.42,39.08,10.82,3.61,-5.98
54,Honolulu,Hawaii,38.18,4.07,13.57,36.10,0.38,4.06
55,Anaheim,California,26.69,5.21,17.92,26.95,0.67,3.20
56,Lexington,Kentucky,45.61,5.03,20.47,29.19,0.70,9.05
57,Stockton,California,18.62,8.10,23.36,17.10,1.37,9.96
