#,Name,State,2010 Home Price,2020 Home Price,Relative Home Price to Income (2020),Relative Home Price to Income (2010),% Change in Home Price (2010-2020),Average Square Foot,% Change (2010-2020)
0,New York City,New York,468112,686591,10.24,9.60,46.67,2532.24,7.69
1,Los Angeles,California,447443,738021,11.30,9.51,64.94,1489.28,2.67
2,Chicago,Illinois,232655,264939,4.27,5.20,13.88,1752.09,1.92
3,Houston,Texas,131165,195756,3.65,3.10,49.24,1339.84,9.69
4,Phoenix,Arizona,137879,259342,4.26,3.26,88.09,1332.96,11.21
5,Philadelphia,Pennsylvania,150009,188807,3.84,4.36,25.86,1273.74,5.10
6,San Antonio,Texas,144670,211906,3.97,3.31,46.48,1461.38,8.05
7,San Diego,California,415432,653458,7.83,6.92,57.30,1558.15,6.01
8,Dallas,Texas,140575,230956,4.22,3.46,64.29,1440.04,8.90
9,San Jose,California,544115,1057802,9.02,7.09,94.41,1445.77,7.25
10,Austin,Texas,231909,392953,5.19,4.89,69.44,1905.07,21.40
11,Jacksonville,Florida,147736,195383,3.52,3.24,32.25,1299.69,15.55
12,Fort Worth,Texas,127609,216441,3.35,2.65,69.61,1333.53,23.90
13,Columbus,Ohio,122295,173033,3.15,2.95,41.49,1393.06,15.07
14,Indianapolis,Indiana,108055,156312,3.08,2.81,44.66,1592.57,8.20
15,Charlotte,North Carolina,176029,256215,3.92,3.55,45.55,1847.20,19.57
16,San Francisco,California,774893,1450665,12.18,10.80,87.21,2327.99,8.54
17,Seattle,Washington,415560,745197,7.67,6.90,79.32,2724.78,20.78
18,Denver,Colorado,253347,470484,6.48,5.62,85.71,2128.91,19.22
19,Washington,District of Columbia,422391,642684,7.07,6.94,52.15,2703.24,14.60
20,Nashville,Tennessee,177881,294632,4.75,4.15,65.63,1776.36,14.68
21,Oklahoma City,Oklahoma,115485,143791,2.55,2.62,24.51,1200.35,17.48
22,El Paso,Texas,130719,140759,2.88,3.51,7.68,1459.56,4.54
23,Boston,Massachusetts,373308,643532,8.43,7.48,72.39,2100.91,9.49
24,Portland,Oregon,288756,460346,6.29,6.12,59.42,1910.97,11.70
25,Las Vegas,Nevada,151078,289803,4.96,2.97,91.82,1632.89,9.95
