#,Name,State,Median Income (2020),Mean Income,Median Income (2010),Mean Income (2010),% Income Growth,% Change (2010-2020)
0,New York City,New York,67046,107000,48743,76300,37.55,7.69
1,Los Angeles,California,65290,101006,47031,73038,38.82,2.67
2,Chicago,Illinois,62097,94733,44776,65788,38.68,1.92
3,Houston,Texas,53600,86249,42355,65335,26.55,9.69
4,Phoenix,Arizona,60914,85527,42260,61295,44.14,11.21
5,Philadelphia,Pennsylvania,49127,72419,34400,49307,42.81,5.10
6,San Antonio,Texas,53420,71917,43758,58431,22.08,8.05
7,San Diego,California,83454,113681,60037,81918,39.00,6.01
8,Dallas,Texas,54747,87999,40650,63928,34.68,8.90
9,San Jose,California,117324,150601,76794,95331,52.78,7.25
10,Austin,Texas,75752,105709,47434,68659,59.70,21.40
11,Jacksonville,Florida,55531,76190,45584,60060,21.82,15.55
12,Fort Worth,Texas,64567,84769,48224,63065,33.89,23.90
13,Columbus,Ohio,54902,70667,41397,53748,32.62,15.07
14,Indianapolis,Indiana,50813,71733,38502,54129,31.97,8.20
15,Charlotte,North Carolina,65359,98462,49616,72303,31.73,19.57
16,San Francisco,California,119136,167663,71745,100785,66.05,8.54
17,Seattle,Washington,97185,134355,60212,84524,61.40,20.78
18,Denver,Colorado,72661,105901,45074,68342,61.20,19.22
19,Washington,District of Columbia,90842,133587,60903,92959,49.16,14.60
20,Nashville,Tennessee,62087,86197,42813,59977,45.02,14.68
21,Oklahoma City,Oklahoma,56456,78057,44043,60948,28.18,17.48
22,El Paso,Texas,48866,66117,37278,53260,31.09,4.54
23,Boston,Massachusetts,76298,113307,49893,75308,52.92,9.49
24,Portland,Oregon,73159,100369,47185,66527,55.05,11.70
25,Las Vegas,Nevada,58377,81840,50783,64597,14.95,9.95
26,Detroit,Michigan,32498,46474,25787,36206,26.02,-10.39
27,Louisville,Kentucky,54929,76735,40730,57576,34.86,5.92
28,Memphis,Tennessee,41864,64439,37045,52207,13.01,-2.27
29,Baltimore,Maryland,52164,76395,38346,54165,36.04,-5.68
30,Milwaukee,Wisconsin,43125,59318,32911,44564,31.04,-2.96
31,Albuquerque,New Mexico,53936,72426,46079,61105,17.05,3.43
32,Fresno,California,53368,73396,41144,55413,29.71,9.60
33,Tucson,Arizona,45227,59650,36428,48154,24.15,4.08
34,Sacramento,California,65847,87213,46731,62986,40.91,12.06
35,Kansas City,Missouri,56179,77114,42780,58690,31.32,10.48
36,Mesa,Arizona,61640,81099,44747,57490,37.75,14.91
37,Atlanta,Georgia,64179,111013,41631,71427,54.16,18.71
38,Omaha,Nebraska,62213,85535,43813,61118,42.00,19.97
39,Colorado Springs,Colorado,67719,88315,49929,64583,35.63,15.09
40,Raleigh,North Carolina,69720,98016,49931,69212,39.63,15.77
41,Long Beach,California,66410,89912,51426,70340,29.14,0.88
42,Virginia Beach,Virginia,78136,101686,64212,80294,21.68,4.90
43,Miami,Florida,44268,74731,27291,46226,62.21,10.72
44,Oakland,California,80143,116585,49190,71260,62.93,12.44
45,Minneapolis,Minnesota,66068,93145,46508,65819,42.06,11.98
46,Tulsa,Oklahoma,49474,75714,38220,57214,29.45,5.24
47,Bakersfield,California,65687,84592,53038,68662,23.85,15.95
48,Wichita,Kansas,53466,73424,42694,58036,25.23,3.84
49,Arlington,Texas,63351,81524,48752,61212,29.95,7.88
50,Aurora,Colorado,67723,86822,50358,62138,34.48,18.81
51,New Orleans,Louisiana,43258,73963,37726,59554,14.66,11.68
52,Tampa,Florida,55634,91281,40883,65530,36.08,14.02
53,Cleveland,Ohio,31838,47716,25977,35921,22.56,-5.98
54,Honolulu,Hawaii,72454,99703,54828,72210,32.15,4.06
55,Anaheim,California,76723,97136,54157,70436,41.67,3.20
56,Lexington,Kentucky,58954,85507,44895,61015,31.32,9.05
57,Stockton,California,58393,78712,45606,59738,28.04,9.96
58,Corpus Christi,Texas,57387,76170,41845,59807,37.14,4.17
59,Henderson,Nevada,75430,101755,61861,79930,21.93,23.20
60,Riverside,California,72738,90520,53847,68601,35.08,3.45
61,St. Paul,Minnesota,59717,83750,44057,59595,35.54,9.25
62,Newark,New Jersey,37476,53750,32043,43955,16.96,12.17
63,Santa Ana,California,72406,88829,51467,64393,40.68,-4.31
64,Cincinnati,Ohio,42663,68877,34110,53975,25.07,4.48
65,Orlando,Florida,55183,80986,38098,57981,44.84,29.11
66,Irvine,California,108318,140764,85615,114083,26.52,43.76
67,Pittsburgh,Pennsylvania,50536,73913,36196,55057,39.62,-0.83
68,St. Louis,Missouri,45782,65863,32688,46209,40.06,-5.55
69,Greensboro,North Carolina,49492,73183,39622,57010,24.91,10.47
70,Jersey City,New Jersey,76444,111574,52950,74013,44.37,18.10
71,Anchorage,Alaska,84813,108393,72128,91772,17.59,-0.20
72,Lincoln,Nebraska,60063,79255,47526,59470,26.38,12.67
73,Plano,Texas,96348,129703,79234,102380,21.60,10.03
74,Durham,North Carolina,61962,85619,45525,61390,36.11,24.18
75,Buffalo,New York,39677,57853,28490,42434,39.27,6.50
76,Chandler,Arizona,85796,112831,67648,83778,26.83,17.03
77,Chula Vista,California,86132,105155,66246,77340,30.02,13.16
78,Toledo,Ohio,39155,51096,31708,41169,23.49,-5.74
79,Madison,Wisconsin,67565,89404,50508,66397,33.77,15.10
80,Gilbert,Arizona,99154,117417,77866,87808,27.34,28.71
81,Fort Wayne,Indiana,51454,66777,42609,56668,20.76,4.01
82,Reno,Nevada,61860,85808,42008,61248,47.26,16.97
83,North Las Vegas,Nevada,60972,73393,52263,66039,16.66,21.07
84,St. Petersburg,Florida,60798,86070,43728,59933,39.04,5.52
85,Lubbock,Texas,51623,72921,40712,56147,26.80,12.03
86,Irving,Texas,66567,87511,46526,65424,43.07,18.73
87,Laredo,Texas,51120,66579,35997,51380,42.01,8.09
88,Chesapeake,Virginia,81261,101002,68955,79665,17.85,12.25
89,Glendale,Arizona,56991,74818,45699,56611,24.71,9.54
90,Garland,Texas,63192,79909,52114,61971,21.26,8.49
91,Scottsdale,Arizona,91042,136783,68824,103138,32.28,11.09
92,Norfolk,Virginia,53026,73862,41613,56083,27.43,-1.98
93,Boise,Idaho,63778,86841,44410,62332,43.61,14.59
94,Fremont,California,142374,170083,87385,106285,62.93,8.41
95,Santa Clarita,California,100932,121250,76384,86040,32.14,30.00
96,Spokane,Washington,52600,71691,41146,52888,27.84,9.53
97,Richmond,Virginia,51421,80218,39608,60786,29.82,10.97
98,Baton Rouge,Louisiana,44177,74900,33748,55110,30.90,-1.90
99,Hialeah,Florida,38471,53088,29296,39497,31.32,-0.74
100,San Bernardino,California,49287,64929,38640,48566,27.55,5.70
101,Tacoma,Washington,64457,83466,47465,59660,35.80,10.40
102,Modesto,California,62182,81841,47983,65639,29.59,8.60
103,Huntsville,Alabama,56758,82580,44419,65900,27.78,19.03
104,Des Moines,Iowa,54843,70393,42986,55983,27.58,5.26
105,Yonkers,New York,69825,94896,61831,75828,12.93,7.79
106,Rochester,New York,37395,55801,27711,39689,34.95,0.32
107,Fayetteville,North Carolina,46321,60449,43257,56625,7.08,4.14
108,Moreno Valley,California,70385,83039,48907,60779,43.92,8.02
109,Fontana,California,75681,93383,58579,68615,29.19,6.48
110,Columbus,Georgia,47418,66950,35384,54864,34.01,8.97
111,Worcester,Massachusetts,51647,71032,42887,57761,20.43,14.12
112,Port St. Lucie,Florida,62380,78202,44560,63867,39.99,24.49
113,Little Rock,Arkansas,53620,85272,44415,65631,20.72,4.65
114,Oxnard,California,77050,91636,61316,73824,25.66,2.17
115,Amarillo,Texas,52941,72844,44826,58549,18.10,5.35
116,Birmingham,Alabama,38832,56635,30212,42347,28.53,-5.41
117,Frisco,Texas,128761,158499,100686,117816,27.88,71.53
118,Montgomery,Alabama,49608,69158,41380,58057,19.88,-2.53
119,Huntington Beach,California,97469,127180,72469,91793,34.50,4.81
120,Salt Lake City,Utah,63156,92248,40219,55194,57.03,6.60
121,Grand Rapids,Michigan,51333,66387,36128,46125,42.09,5.56
122,Overland Park,Kansas,87629,118303,69490,88560,26.10,13.80
123,Glendale,California,70596,100368,51923,72481,35.96,2.67
124,Grand Prairie,Texas,69171,82466,50030,61910,38.26,11.90
125,Tallahassee,Florida,46461,68354,35911,54549,29.38,8.10
126,McKinney,Texas,100775,122001,73826,90999,36.50,48.77
127,Cape Coral,Florida,61780,78434,44803,58389,37.89,26.36
128,Sioux Falls,South Dakota,61738,80371,47466,63750,30.07,25.21
129,Peoria,Arizona,76423,94994,53848,69963,41.92,24.01
130,Vancouver,Washington,63617,81881,47307,61695,34.48,17.94
131,Akron,Ohio,40281,55596,31171,41697,29.23,-4.31
132,Providence,Rhode Island,49065,74501,37237,55671,31.76,6.88
133,Knoxville,Tennessee,41598,59948,29903,42977,39.11,6.23
134,Shreveport,Louisiana,40809,65747,32848,51209,24.24,-5.68
135,Mobile,Alabama,43456,64028,37438,55727,16.07,-4.24
136,Brownsville,Texas,40924,54639,30454,47288,34.38,6.62
137,Newport News,Virginia,54511,70330,50937,61890,7.02,3.06
138,Fort Lauderdale,Florida,64313,104110,43320,69921,48.46,10.45
139,Chattanooga,Tennessee,47165,72306,35817,49807,31.68,8.09
140,Aurora,Illinois,74659,97118,60786,76702,22.82,-8.70
141,Tempe,Arizona,61290,79039,45151,59722,35.74,11.16
142,Santa Rosa,California,80472,101066,54666,69488,47.21,6.16
143,Elk Grove,California,101776,117676,75590,82781,34.64,15.77
144,Ontario,California,67357,82210,53764,61663,25.28,7.07
145,Salem,Oregon,58726,77666,42898,58844,36.90,13.45
146,Cary,North Carolina,107463,135850,88031,107120,22.07,29.22
147,Eugene,Oregon,52689,75608,40701,57849,29.45,11.89
148,Rancho Cucamonga,California,92290,113835,76640,88474,20.42,5.66
149,Oceanside,California,75411,95818,62422,76366,20.81,4.35
150,Lancaster,California,58413,73470,50492,66330,15.69,10.64
151,Garden Grove,California,73611,91210,60974,71885,20.73,0.74
152,Pembroke Pines,Florida,68683,86584,61163,78457,12.30,10.61
153,Palmdale,California,65444,80328,53048,64647,23.37,11.24
154,Springfield,Missouri,37491,52842,28697,40271,30.64,6.44
155,Fort Collins,Colorado,70528,91635,47752,65199,47.70,17.35
156,Clarksville,Tennessee,55819,68193,43326,52155,28.83,25.36
157,Salinas,California,67914,86319,47738,58085,42.26,8.80
158,Hayward,California,91490,112574,59890,74365,52.76,13.49
159,Paterson,New Jersey,45141,60885,32068,44357,40.77,9.22
160,Alexandria,Virginia,102227,138029,77793,110485,31.41,13.93
161,Corona,California,88434,108573,74015,90245,19.48,3.21
162,Sunnyvale,California,150464,192790,95582,109971,57.42,11.57
163,Springfield,Massachusetts,41571,57891,35236,45392,17.98,1.86
164,Hollywood,Florida,54317,80295,41188,57376,31.88,8.73
165,Killeen,Texas,50335,62332,47698,53867,5.53,19.27
166,Murfreesboro,Tennessee,60683,82529,45158,58542,34.38,40.17
167,Bellevue,Washington,129497,177279,80500,105126,60.87,24.26
168,Pasadena,Texas,57781,74775,41280,56096,39.97,1.95
