#,Name,State,Population (2020),Population (2010),Population (2000),Population (1990),% Change (2010-2020),% Change (2000-2010),% Change (1990-2000)
0,New York City,New York,8804190,8175133,8008278,7322564,7.69,2.08,9.36
1,Los Angeles,California,3893986,3792621,3694820,3485398,2.67,2.65,6.01
2,Chicago,Illinois,2747231,2695598,2896016,2783726,1.92,-6.92,4.03
3,Houston,Texas,2302792,2099451,1953631,1630553,9.69,7.46,19.81
4,Phoenix,Arizona,1607739,1445632,1321045,983403,11.21,9.43,34.33
5,Philadelphia,Pennsylvania,1603797,1526006,1517550,1585577,5.10,0.56,-4.29
6,San Antonio,Texas,1434270,1327407,1144646,935933,8.05,15.97,22.30
7,San Diego,California,1385922,1307402,1223400,1110549,6.01,6.87,10.16
8,Dallas,Texas,1304442,1197816,1188580,1006877,8.90,0.78,18.05
9,San Jose,California,1014545,945942,894943,782248,7.25,5.70,14.41
10,Austin,Texas,959549,790390,656562,465622,21.40,20.38,41.01
11,Jacksonville,Florida,949577,821784,735617,635230,15.55,11.71,15.80
12,Fort Worth,Texas,918377,741206,534694,447619,23.90,38.62,19.45
13,Columbus,Ohio,905672,787033,711470,632910,15.07,10.62,12.41
14,Indianapolis,Indiana,887752,820445,781870,731327,8.20,4.93,6.91
15,Charlotte,North Carolina,874541,731424,540828,395934,19.57,35.24,36.60
16,San Francisco,California,873965,805235,776733,723959,8.54,3.67,7.29
17,Seattle,Washington,735157,608660,563374,516259,20.78,8.04,9.13
18,Denver,Colorado,715522,600158,554636,467610,19.22,8.21,18.61
19,Washington,District of Columbia,689545,601723,572059,606900,14.60,5.19,-5.74
20,Nashville,Tennessee,689504,601222,545524,488374,14.68,10.21,11.70
21,Oklahoma City,Oklahoma,681387,579999,506132,444719,17.48,14.59,13.81
22,El Paso,Texas,678587,649121,563662,515342,4.54,15.16,9.38
23,Boston,Massachusetts,676216,617594,589141,574283,9.49,4.83,2.59
24,Portland,Oregon,652089,583776,529121,437319,11.70,10.33,20.99
25,Las Vegas,Nevada,641825,583756,478434,258295,9.95,22.01,85.23
26,Detroit,Michigan,639614,713777,951270,1027974,-10.39,-24.97,-7.46
27,Louisville,Kentucky,632689,597337,256231,269063,5.92,133.12,-4.77
28,Memphis,Tennessee,632207,646889,650100,610337,-2.27,-0.49,6.51
29,Baltimore,Maryland,585708,620961,651154,736014,-5.68,-4.64,-11.53
30,Milwaukee,Wisconsin,577235,594833,596974,628088,-2.96,-0.36,-4.95
31,Albuquerque,New Mexico,564563,545852,448607,384736,3.43,21.68,16.60
32,Fresno,California,542161,494665,427652,354202,9.60,15.67,20.74
33,Tucson,Arizona,541349,520116,486699,405390,4.08,6.87,20.06
34,Sacramento,California,522754,466488,407018,369365,12.06,14.61,10.19
35,Kansas City,Missouri,507969,459787,441545,435146,10.48,4.13,1.47
36,Mesa,Arizona,504500,439041,396375,288091,14.91,10.76,37.59
37,Atlanta,Georgia,498602,420003,416474,394017,18.71,0.85,5.70
38,Omaha,Nebraska,490627,408958,390007,335795,19.97,4.86,16.14
39,Colorado Springs,Colorado,479260,416427,360890,281140,15.09,15.39,28.37
40,Raleigh,North Carolina,467592,403892,276093,207951,15.77,46.29,32.77
41,Long Beach,California,466302,462257,461522,429433,0.88,0.16,7.47
42,Virginia Beach,Virginia,459470,437994,425257,393069,4.90,3.00,8.19
43,Miami,Florida,442265,399457,362470,358548,10.72,10.20,1.09
44,Oakland,California,439349,390724,399484,372242,12.44,-2.19,7.32
45,Minneapolis,Minnesota,428403,382578,382618,368383,11.98,-0.01,3.86
46,Tulsa,Oklahoma,412458,391906,393049,367302,5.24,-0.29,7.01
47,Bakersfield,California,402907,347483,247057,174820,15.95,40.65,41.32
48,Wichita,Kansas,397070,382368,344284,304011,3.84,11.06,13.25
49,Arlington,Texas,394218,365438,332969,261721,7.88,9.75,27.22
50,Aurora,Colorado,386241,325078,276393,222103,18.81,17.61,24.44
51,New Orleans,Louisiana,383997,343829,484674,496938,11.68,-29.06,-2.47
52,Tampa,Florida,382769,335709,303447,280015,14.02,10.63,8.37
53,Cleveland,Ohio,373091,396815,478403,505616,-5.98,-17.05,-5.38
54,Honolulu,Hawaii,350943,337256,371657,376937,4.06,-9.26,-1.40
55,Anaheim,California,347015,336265,328014,266406,3.20,2.52,23.13
56,Lexington,Kentucky,322570,295803,260512,225366,9.05,13.55,15.60
57,Stockton,California,320759,291707,243771,210943,9.96,19.66,15.56
58,Corpus Christi,Texas,317929,305215,277454,257453,4.17,10.01,7.77
59,Henderson,Nevada,317521,257729,175381,64942,23.20,46.95,170.06
60,Riverside,California,314347,303871,255166,226505,3.45,19.09,12.65
61,St. Paul,Minnesota,311448,285068,287151,272235,9.25,-0.73,5.48
62,Newark,New Jersey,310876,277140,273546,275221,12.17,1.31,-0.61
63,Santa Ana,California,310538,324528,337977,293742,-4.31,-3.98,15.06
64,Cincinnati,Ohio,310242,296943,331285,364040,4.48,-10.37,-9.00
65,Orlando,Florida,307674,238300,185951,164693,29.11,28.15,12.91
66,Irvine,California,305313,212375,143072,110330,43.76,48.44,29.68
67,Pittsburgh,Pennsylvania,303160,305704,334563,369879,-0.83,-8.63,-9.55
68,St. Louis,Missouri,301578,319294,348189,396685,-5.55,-8.30,-12.23
69,Greensboro,North Carolina,297899,269666,223891,183521,10.47,20.45,22.00
70,Jersey City,New Jersey,292412,247597,240055,228537,18.10,3.14,5.04
71,Anchorage,Alaska,291247,291826,260283,226338,-0.20,12.12,15.00
72,Lincoln,Nebraska,291114,258379,225581,191972,12.67,14.54,17.51
73,Plano,Texas,285900,259841,222030,128713,10.03,17.03,72.50
74,Durham,North Carolina,283547,228330,187035,136611,24.18,22.08,36.91
75,Buffalo,New York,278302,261310,292648,328123,6.50,-10.71,-10.81
76,Chandler,Arizona,276330,236123,176581,90533,17.03,33.72,95.05
77,Chula Vista,California,276025,243916,173556,135163,13.16,40.54,28.40
78,Toledo,Ohio,270726,287208,313619,332943,-5.74,-8.42,-5.80
79,Madison,Wisconsin,268414,233209,208054,191262,15.10,12.09,8.78
80,Gilbert,Arizona,268302,208453,109697,29188,28.71,90.03,275.83
81,Fort Wayne,Indiana,263852,253691,205727,173072,4.01,23.31,18.87
82,Reno,Nevada,263436,225221,180480,133850,16.97,24.79,34.84
83,North Las Vegas,Nevada,262678,216961,115488,47707,21.07,87.86,142.08
84,St. Petersburg,Florida,258277,244769,248232,238629,5.52,-1.40,4.02
85,Lubbock,Texas,257180,229573,199564,186206,12.03,15.04,7.17
86,Irving,Texas,256793,216290,191615,155037,18.73,12.88,23.59
87,Laredo,Texas,255181,236091,176576,122899,8.09,33.71,43.68
88,Chesapeake,Virginia,249422,222209,199184,151976,12.25,11.56,31.06
89,Glendale,Arizona,248345,226721,218812,148134,9.54,3.61,47.71
90,Garland,Texas,246132,226876,215768,180650,8.49,5.15,19.44
91,Scottsdale,Arizona,241488,217385,202705,130069,11.09,7.24,55.84
92,Norfolk,Virginia,238005,242803,234403,261229,-1.98,3.58,-10.27
93,Boise,Idaho,235670,205671,185787,125738,14.59,10.70,47.76
94,Fremont,California,232084,214089,203413,173339,8.41,5.25,17.35
95,Santa Clarita,California,229213,176320,151088,110642,30.00,16.70,36.56
96,Spokane,Washington,228831,208916,195629,177196,9.53,6.79,10.40
97,Richmond,Virginia,226610,204214,197790,203056,10.97,3.25,-2.59
98,Baton Rouge,Louisiana,225128,229493,227818,219531,-1.90,0.74,3.77
99,Hialeah,Florida,223017,224669,226419,188004,-0.74,-0.77,20.43
100,San Bernardino,California,221898,209924,185401,164164,5.70,13.23,12.94
101,Tacoma,Washington,219025,198397,193556,176664,10.40,2.50,9.56
102,Modesto,California,218471,201165,188856,164730,8.60,6.52,14.65
103,Huntsville,Alabama,214372,180105,158216,159789,19.03,13.83,-0.98
104,Des Moines,Iowa,214137,203433,198682,193187,5.26,2.39,2.84
105,Yonkers,New York,211237,195976,196086,188082,7.79,-0.06,4.26
106,Rochester,New York,211233,210565,219773,231636,0.32,-4.19,-5.12
107,Fayetteville,North Carolina,208871,200564,121015,75695,4.14,65.73,59.87
108,Moreno Valley,California,208865,193365,142381,118779,8.02,35.81,19.87
109,Fontana,California,208766,196069,128929,87535,6.48,52.08,47.29
110,Columbus,Georgia,206922,189885,185781,178681,8.97,2.21,3.97
111,Worcester,Massachusetts,206601,181045,172648,169759,14.12,4.86,1.70
112,Port St. Lucie,Florida,204913,164603,88769,55866,24.49,85.43,58.90
113,Little Rock,Arkansas,202514,193524,183133,175795,4.65,5.67,4.17
114,Oxnard,California,202185,197899,170358,142216,2.17,16.17,19.79
115,Amarillo,Texas,200904,190695,173627,157615,5.35,9.83,10.16
116,Birmingham,Alabama,200763,212237,242820,265968,-5.41,-12.59,-8.70
117,Frisco,Texas,200675,116989,33714,6138,71.53,247.00,449.27
