#,Name,State,% Car,% No Car,% Carpooled,% Public Transportation,% Walked,% Misc Transportation,% Work From Home,% Change (2010-2020)
0,New York City,New York,22.41,77.59,4.47,52.88,9.63,3.23,7.38,7.69
1,Los Angeles,California,68.14,31.86,8.95,8.21,2.91,2.64,9.15,2.67
2,Chicago,Illinois,48.39,51.61,7.63,26.22,5.85,3.47,8.44,1.92
3,Houston,Texas,76.09,23.91,10.00,3.65,1.78,2.35,6.13,9.69
4,Phoenix,Arizona,73.03,26.97,12.26,2.68,1.46,2.30,8.26,11.21
5,Philadelphia,Pennsylvania,49.93,50.07,8.22,23.33,7.41,4.17,6.94,5.10
6,San Antonio,Texas,76.60,23.40,11.76,2.56,1.56,1.78,5.73,8.05
7,San Diego,California,73.09,26.91,8.44,3.51,2.14,2.44,10.38,6.01
8,Dallas,Texas,74.56,25.44,11.17,3.28,2.01,1.47,7.51,8.90
9,San Jose,California,72.95,27.05,11.30,4.02,1.62,2.01,8.11,7.25
10,Austin,Texas,70.46,29.54,8.47,2.90,2.25,2.55,13.37,21.40
11,Jacksonville,Florida,79.21,20.79,8.89,1.69,1.20,2.32,6.68,15.55
12,Fort Worth,Texas,79.28,20.72,11.28,0.66,1.14,1.17,6.48,23.90
13,Columbus,Ohio,78.53,21.47,7.61,2.66,2.35,1.58,7.27,15.07
14,Indianapolis,Indiana,80.05,19.95,9.15,1.61,1.83,1.35,6.01,8.20
15,Charlotte,North Carolina,72.86,27.14,9.46,3.00,1.76,1.47,11.44,19.57
16,San Francisco,California,30.65,69.35,6.77,31.56,11.51,7.72,11.79,8.54
17,Seattle,Washington,43.65,56.35,6.67,20.52,10.46,4.69,14.01,20.78
18,Denver,Colorado,66.33,33.67,7.29,6.09,4.46,3.45,12.39,19.22
19,Washington,District of Columbia,32.75,67.25,4.92,32.10,11.36,6.75,12.13,14.60
20,Nashville,Tennessee,75.93,24.07,9.18,1.89,1.71,1.40,9.90,14.68
21,Oklahoma City,Oklahoma,81.72,18.28,10.08,0.49,1.41,1.39,4.91,17.48
22,El Paso,Texas,80.27,19.73,10.79,1.47,0.98,2.30,4.19,4.54
23,Boston,Massachusetts,38.70,61.30,5.82,31.31,12.78,4.08,7.30,9.49
24,Portland,Oregon,56.14,43.86,7.92,11.34,5.07,6.87,12.66,11.70
25,Las Vegas,Nevada,76.80,23.20,10.25,3.17,1.34,2.87,5.58,9.95
26,Detroit,Michigan,69.20,30.80,12.61,6.50,3.39,2.94,5.36,-10.39
27,Louisville,Kentucky,78.42,21.58,8.69,2.86,1.79,1.96,6.28,5.92
28,Memphis,Tennessee,81.82,18.18,10.47,1.30,1.26,1.40,3.75,-2.27
29,Baltimore,Maryland,59.61,40.39,8.64,16.14,5.77,2.80,7.03,-5.68
30,Milwaukee,Wisconsin,72.67,27.33,10.06,6.68,3.69,1.64,5.27,-2.96
31,Albuquerque,New Mexico,78.66,21.34,9.48,1.64,1.76,2.00,6.47,3.43
32,Fresno,California,77.92,22.08,12.12,1.44,1.40,1.33,5.79,9.60
33,Tucson,Arizona,73.74,26.26,10.52,2.87,2.40,3.79,6.68,4.08
34,Sacramento,California,72.09,27.91,10.10,2.98,2.86,3.11,8.86,12.06
35,Kansas City,Missouri,80.19,19.81,7.49,2.54,1.69,1.38,6.72,10.48
36,Mesa,Arizona,73.46,26.54,12.19,1.41,1.51,2.32,9.10,14.91
37,Atlanta,Georgia,64.40,35.60,5.64,9.68,3.73,3.80,12.75,18.71
38,Omaha,Nebraska,79.57,20.43,9.14,1.36,1.72,1.43,6.78,19.97
39,Colorado Springs,Colorado,76.65,23.35,10.43,0.85,1.50,1.47,9.11,15.09
40,Raleigh,North Carolina,75.41,24.59,7.43,1.94,1.49,1.63,12.11,15.77
41,Long Beach,California,73.37,26.63,9.00,5.21,2.68,2.11,7.63,0.88
42,Virginia Beach,Virginia,81.36,18.64,8.29,0.81,1.27,2.04,6.23,4.90
43,Miami,Florida,68.13,31.87,8.05,8.16,4.54,3.79,7.34,10.72
44,Oakland,California,50.02,49.98,9.71,21.47,3.48,4.51,10.81,12.44
45,Minneapolis,Minnesota,59.71,40.29,6.42,11.67,6.48,5.14,10.58,11.98
46,Tulsa,Oklahoma,80.12,19.88,10.19,0.73,1.52,2.07,5.36,5.24
47,Bakersfield,California,82.15,17.85,10.68,0.79,0.72,1.19,4.46,15.95
48,Wichita,Kansas,82.67,17.33,9.88,0.60,1.21,1.50,4.14,3.84
49,Arlington,Texas,81.20,18.80,10.50,0.25,1.19,1.15,5.70,7.88
50,Aurora,Colorado,74.20,25.80,10.84,4.25,1.52,1.26,7.94,18.81
51,New Orleans,Louisiana,67.68,32.32,9.92,5.79,4.24,4.95,7.42,11.68
52,Tampa,Florida,74.63,25.37,9.05,2.27,1.97,2.66,9.43,14.02
53,Cleveland,Ohio,69.42,30.58,10.05,8.63,4.43,1.91,5.56,-5.98
54,Honolulu,Hawaii,58.49,41.51,13.00,10.36,7.73,5.61,4.82,4.06
55,Anaheim,California,77.91,22.09,11.34,2.82,1.56,1.77,4.61,3.20
56,Lexington,Kentucky,78.50,21.50,8.22,1.77,3.22,1.74,6.55,9.05
57,Stockton,California,79.54,20.46,12.82,1.71,0.99,1.16,3.78,9.96
58,Corpus Christi,Texas,82.70,17.30,10.00,1.49,1.05,1.21,3.54,4.17
59,Henderson,Nevada,80.19,19.81,7.43,0.93,1.16,1.77,8.52,23.20
60,Riverside,California,77.53,22.47,12.08,2.42,1.46,1.53,4.98,3.45
61,St. Paul,Minnesota,65.74,34.26,10.86,9.05,3.46,2.02,8.87,9.25
62,Newark,New Jersey,54.16,45.84,8.14,23.53,5.45,6.11,2.60,12.17
63,Santa Ana,California,72.90,27.10,13.94,4.29,2.05,1.84,4.99,-4.31
64,Cincinnati,Ohio,71.34,28.66,8.65,6.68,4.88,1.68,6.77,4.48
65,Orlando,Florida,77.03,22.97,8.08,2.86,1.59,3.44,7.00,29.11
66,Irvine,California,71.90,28.10,7.57,1.06,3.69,2.97,12.81,43.76
67,Pittsburgh,Pennsylvania,54.82,45.18,7.27,17.13,8.80,3.00,8.98,-0.83
68,St. Louis,Missouri,71.62,28.38,7.43,7.32,4.02,2.00,7.60,-5.55
69,Greensboro,North Carolina,80.41,19.59,8.27,2.17,1.58,1.04,6.52,10.47
70,Jersey City,New Jersey,30.21,69.79,6.28,45.30,6.80,2.50,8.92,18.10
71,Anchorage,Alaska,75.56,24.44,12.29,1.46,2.11,3.00,5.57,-0.20
72,Lincoln,Nebraska,80.63,19.37,9.31,1.06,2.28,1.66,5.06,12.67
73,Plano,Texas,76.95,23.05,6.23,1.16,1.57,1.51,12.58,10.03
74,Durham,North Carolina,75.38,24.62,8.20,3.32,1.81,1.79,9.51,24.18
75,Buffalo,New York,68.41,31.59,10.02,9.86,5.35,2.28,4.08,6.50
76,Chandler,Arizona,76.00,24.00,9.26,0.93,0.92,1.98,10.90,17.03
77,Chula Vista,California,77.45,22.55,10.29,2.64,1.62,1.82,6.18,13.16
78,Toledo,Ohio,81.73,18.27,9.20,2.07,2.47,1.53,3.00,-5.74
79,Madison,Wisconsin,63.47,36.53,6.92,8.10,8.16,5.25,8.10,15.10
80,Gilbert,Arizona,75.62,24.38,8.67,0.54,0.86,2.05,12.26,28.71
81,Fort Wayne,Indiana,82.26,17.74,9.68,1.03,1.08,1.09,4.87,4.01
82,Reno,Nevada,73.38,26.62,12.01,2.78,2.83,2.51,6.48,16.97
83,North Las Vegas,Nevada,80.45,19.55,10.62,2.08,0.69,2.61,3.55,21.07
84,St. Petersburg,Florida,76.18,23.82,7.92,1.96,1.37,2.83,9.74,5.52
85,Lubbock,Texas,80.46,19.54,12.05,0.81,1.31,1.17,4.21,12.03
86,Irving,Texas,77.78,22.22,10.99,1.24,1.09,1.45,7.45,18.73
87,Laredo,Texas,80.72,19.28,11.19,1.01,1.52,2.04,3.53,8.09
88,Chesapeake,Virginia,82.39,17.61,8.69,0.83,0.79,1.60,5.70,12.25
89,Glendale,Arizona,75.20,24.80,11.98,2.28,1.11,2.52,6.90,9.54
90,Garland,Texas,77.72,22.28,12.08,2.21,0.70,1.37,5.93,8.49
91,Scottsdale,Arizona,72.03,27.97,6.07,0.58,1.50,2.29,17.53,11.09
92,Norfolk,Virginia,77.22,22.78,8.91,3.51,2.88,2.33,5.15,-1.98
93,Boise,Idaho,76.70,23.30,7.04,0.54,3.04,4.20,8.47,14.59
94,Fremont,California,65.36,34.64,9.81,8.35,1.20,1.50,13.79,8.41
95,Santa Clarita,California,77.69,22.31,8.95,2.56,0.65,1.51,8.65,30.00
96,Spokane,Washington,73.80,26.20,11.06,3.74,3.00,1.51,6.89,9.53
97,Richmond,Virginia,71.08,28.92,8.49,5.04,4.05,3.70,7.64,10.97
98,Baton Rouge,Louisiana,79.86,20.14,9.91,1.97,2.86,1.76,3.65,-1.90
99,Hialeah,Florida,76.14,23.86,10.22,1.68,1.08,1.54,9.34,-0.74
100,San Bernardino,California,77.73,22.27,13.65,1.80,1.61,1.83,3.39,5.70
101,Tacoma,Washington,72.24,27.76,11.00,6.40,2.19,1.85,6.33,10.40
102,Modesto,California,81.03,18.97,10.10,1.01,0.95,1.32,5.59,8.60
